djt_day,djt_date,djt_count,djt_cc,djt_tot,djt_tc,djt_tot3,djt_avg,djt_avg3,djt_inc,djt_culm,hrc_day,hrc_date,hrc_count,hrc_cc,hrc_tot,hrc_tc,hrc_tot3,hrc_avg,hrc_avg3,hrc_inc,hrc_culm
1,7192016,7,0.000085,7869,0.000174,0,1124,0,0.000167,0.000167,0,0,0,0.000000,0,0.000000,0,0,0,0.000000,0
2,7202016,17,0.000207,20533,0.000453,0,1208,0,0.000437,0.000605,0,0,0,0.000000,0,0.000000,0,0,0,0.000000,0
3,7212016,42,0.000512,56481,0.001247,28294,1345,1226,0.001202,0.001807,0,0,0,0.000000,0,0.000000,0,0,0,0.000000,0
4,7222016,3315,0.040424,1009724,0.022295,362246,305,952,0.021492,0.023298,0,0,0,0.000000,0,0.000000,0,0,0,0.000000,0
5,7232016,1428,0.017413,381511,0.008424,482572,267,639,0.008120,0.031419,0,0,0,0.000000,0,0.000000,0,0,0,0.000000,0
6,7242016,987,0.012036,279611,0.006174,556949,283,285,0.005951,0.037370,0,0,0,0.000000,0,0.000000,0,0,0,0.000000,0
7,7252016,735,0.008963,211284,0.004665,290802,287,279,0.004497,0.041867,0,0,0,0.000000,0,0.000000,0,0,0,0.000000,0
8,7262016,796,0.009707,260347,0.005749,250414,327,299,0.005541,0.047409,1,7262016,291,0.000169,116644,0.001080,0,401,0,0.000389,0.000389
9,7272016,878,0.010707,213313,0.004710,228315,243,286,0.004540,0.051949,2,7272016,12205,0.007103,980646,0.009081,0,80,0,0.003268,0.003656
10,7282016,1203,0.014670,2377871,0.052505,950510,1977,849,0.050612,0.102561,3,7282016,21567,0.012551,2057476,0.019052,1051589,95,192,0.006856,0.010512
11,7292016,1613,0.019669,366254,0.008087,985813,227,816,0.007796,0.110356,4,7292016,24719,0.014386,2144140,0.019854,1727421,87,87,0.007144,0.017656
12,7302016,998,0.012170,258597,0.005710,1000907,259,821,0.005504,0.115861,5,7302016,10817,0.006295,995682,0.009220,1732433,92,91,0.003318,0.020974
13,7312016,1366,0.016657,309209,0.006828,311353,226,238,0.006581,0.122442,6,7312016,17161,0.009987,1563804,0.014480,1567875,91,90,0.005211,0.026185
14,8012016,576,0.007024,243465,0.005376,270424,423,303,0.005182,0.127624,7,8012016,7244,0.004216,791156,0.007326,1116881,109,97,0.002636,0.028821
15,8022016,1271,0.015499,343724,0.007590,298799,270,306,0.007316,0.134940,8,8022016,6839,0.003980,619658,0.005738,991539,91,97,0.002065,0.030885
16,8032016,1167,0.014231,350797,0.007746,312662,301,331,0.007467,0.142407,9,8032016,5875,0.003419,658613,0.006099,689809,112,104,0.002195,0.033080
17,8042016,659,0.008036,288287,0.006366,327603,437,336,0.006136,0.148543,10,8042016,8079,0.004702,768087,0.007112,682119,95,99,0.002559,0.035639
18,8052016,521,0.006353,202672,0.004475,280585,389,376,0.004314,0.152857,11,8052016,10849,0.006314,945873,0.008759,790858,87,98,0.003152,0.038791
19,8062016,530,0.006463,159808,0.003529,216922,302,376,0.003401,0.156258,12,8062016,9799,0.005703,545370,0.005050,753110,56,79,0.001817,0.040608
20,8072016,461,0.005622,117943,0.002604,160141,256,315,0.002510,0.158768,13,8072016,7795,0.004536,479264,0.004438,656836,61,68,0.001597,0.042205
21,8082016,631,0.007695,207521,0.004582,161757,329,295,0.004417,0.163185,14,8082016,9196,0.005352,688724,0.006377,571119,75,64,0.002295,0.044500
22,8092016,510,0.006219,190114,0.004198,171859,373,319,0.004047,0.167232,15,8092016,10863,0.006322,784001,0.007260,650663,72,70,0.002612,0.047112
23,8102016,427,0.005207,138724,0.003063,178786,325,342,0.002953,0.170185,16,8102016,9197,0.005352,572574,0.005302,681766,62,70,0.001908,0.049020
24,8112016,406,0.004951,196389,0.004336,175076,484,394,0.004180,0.174365,17,8112016,6847,0.003985,477100,0.004418,611225,70,68,0.001590,0.050610
25,8122016,336,0.004097,146467,0.003234,160527,436,415,0.003117,0.177482,18,8122016,12296,0.007156,705530,0.006533,585068,57,63,0.002351,0.052961
26,8132016,217,0.002646,79361,0.001752,140739,366,428,0.001689,0.179171,19,8132016,6734,0.003919,329203,0.003048,503944,49,59,0.001097,0.054058
27,8142016,207,0.002524,71199,0.001572,99009,344,382,0.001515,0.180687,20,8142016,4598,0.002676,238418,0.002208,424384,52,53,0.000794,0.054852
28,8152016,389,0.004744,189170,0.004177,113243,486,399,0.004026,0.184713,21,8152016,6748,0.003927,424043,0.003927,330555,63,55,0.001413,0.056265
29,8162016,499,0.006085,206075,0.004550,155481,413,414,0.004386,0.189099,22,8162016,11889,0.006919,636035,0.005890,432832,53,56,0.002119,0.058384
30,8172016,528,0.006439,197025,0.004350,197423,373,424,0.004194,0.193293,23,8172016,11231,0.006536,688545,0.006376,582874,61,59,0.002294,0.060679
31,8182016,374,0.004561,156012,0.003445,186371,417,401,0.003321,0.196614,24,8182016,9297,0.005411,565695,0.005238,630092,61,59,0.001885,0.062564
32,8192016,546,0.006658,204093,0.004507,185710,374,388,0.004344,0.200958,25,8192016,8044,0.004681,410038,0.003797,554759,51,58,0.001366,0.063930
33,8202016,348,0.004244,172613,0.003811,177573,496,429,0.003674,0.204632,26,8202016,7287,0.004241,336926,0.003120,437553,46,53,0.001123,0.065052
34,8212016,312,0.003805,138230,0.003052,171645,443,438,0.002942,0.207574,27,8212016,9009,0.005243,437533,0.004051,394832,49,49,0.001458,0.066510
35,8222016,503,0.006134,244368,0.005396,185070,486,475,0.005201,0.212775,28,8222016,8762,0.005099,514852,0.004767,429770,59,51,0.001716,0.068226
36,8232016,381,0.004646,178362,0.003938,186987,468,466,0.003796,0.216572,29,8232016,8073,0.004698,436457,0.004041,462947,54,54,0.001454,0.069680
37,8242016,421,0.005134,226464,0.005000,216398,538,497,0.004820,0.221392,30,8242016,5810,0.003381,292419,0.002708,414576,50,54,0.000974,0.070655
38,8252016,357,0.004353,182416,0.004028,195747,511,506,0.003883,0.225274,31,8252016,7561,0.004400,444647,0.004117,391174,59,54,0.001482,0.072136
39,8262016,274,0.003341,143914,0.003178,184265,525,525,0.003063,0.228338,32,8262016,7365,0.004286,412323,0.003818,383130,56,55,0.001374,0.073510
40,8272016,207,0.002524,74129,0.001637,133486,358,465,0.001578,0.229915,33,8272016,6943,0.004041,367955,0.003407,408308,53,56,0.001226,0.074736
41,8282016,267,0.003256,104994,0.002318,107679,393,426,0.002235,0.232150,34,8282016,10956,0.006376,604115,0.005594,461464,55,55,0.002013,0.076749
42,8292016,485,0.005914,215424,0.004757,131516,444,399,0.004585,0.236735,35,8292016,12887,0.007500,770081,0.007131,580717,60,56,0.002566,0.079315
43,8302016,645,0.007865,288552,0.006371,202990,447,428,0.006142,0.242877,36,8302016,14367,0.008361,835339,0.007735,736512,58,58,0.002783,0.082098
44,8312016,1929,0.023523,2782807,0.061446,1095594,1443,778,0.059231,0.302108,37,8312016,26941,0.015679,1728475,0.016005,1111298,64,61,0.005759,0.087858
45,9012016,57,0.000695,56396,0.001245,1042585,989,960,0.001200,0.303308,38,9012016,10256,0.005969,589105,0.005455,1050973,57,60,0.001963,0.089821
46,9022016,63,0.000768,62018,0.001369,967074,984,1139,0.001320,0.304629,39,9022016,4920,0.002863,265364,0.002457,860981,54,59,0.000884,0.090705
47,9032016,5,0.000061,6706,0.000148,41707,1341,1105,0.000143,0.304771,40,9032016,5326,0.003100,215595,0.001996,356688,40,51,0.000718,0.091423
48,9042016,3,0.000037,549,0.000012,23091,183,836,0.000012,0.304783,41,9042016,5910,0.003439,225563,0.002089,235507,38,44,0.000752,0.092175
49,9052016,8,0.000098,1082,0.000024,2779,135,553,0.000023,0.304806,42,9052016,4103,0.002388,197497,0.001829,212885,48,42,0.000658,0.092833
50,9062016,638,0.007780,296028,0.006537,99220,464,261,0.006301,0.311107,43,9062016,9222,0.005367,454177,0.004206,292412,49,45,0.001513,0.094346
